id	description	en	local
		You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON.	You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON.
		ZOOM THE CAMERA	縮放相機
		You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys.	You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys.
		RESET THE CAMERA	重設相機
		Open the camera settings by pressing the 'Camera' button.	Open the camera settings by pressing the 'Camera' button.
		Return the camera to its original position by pressing the 'Reset Camera' button.	Return the camera to its original position by pressing the 'Reset Camera' button.
		PLACE BLOCK (1/3)	PLACE BLOCK (1/3)
		Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it.	Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it.
		PLACE BLOCK (2/3)	PLACE BLOCK (2/3)
		PLACE BLOCK (3/3)	PLACE BLOCK (3/3)
		PLACE BLOCKS	放置方塊
		Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging.	Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging.
		PLACE WEDGE	PLACE WEDGE
		PLACE WEDGES	PLACE WEDGES
		PLACE PYRAMID	PLACE PYRAMID
		CONNECT LOGIC (1/5)	CONNECT LOGIC (1/5)
		CONNECT LOGIC (2/5)	CONNECT LOGIC (2/5)
		CONNECT LOGIC (3/5)	CONNECT LOGIC (3/5)
		CONNECT LOGIC (4/5)	CONNECT LOGIC (4/5)
		CONNECT LOGIC (5/5)	CONNECT LOGIC (5/5)		
		SAVE BOAT	儲存船隻
		Save your boat design so that you can come back to it later.	Save your boat design so that you can come back to it later.
		SPAWN BOAT	SPAWN BOAT
		Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin.	Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin.
		SELECT ACTIVE MISSION	選擇一個啟用的任務
		COMPLETE MISSION	完成任務
		RETURN TO BASE	返回基地
		Press [f] to focus on hovered mouse position	按 [f] 焦點於滑鼠的位置
		Press [f] to focus on selected object	按 [f] 焦點於選擇的物件
		Press [lmb] to place object	按 [lmb] 焦點於物件上
		Hold [shift] to place multiple	按住 [shift] 放置多個
		Press [enter] to cancel	按 [enter] 取消
		Press [del] to delete object	按 [del] 刪除物件
		Ocean	海洋
		1km x 1km of empty ocean.	1km x 1km 的空曠海洋.
		Hospital	醫院
		Small hospital.	小型醫院.
		Science	科學
		Small science and research outpost.	小型科學和研究設施.
		Police	警察
		Small police station.	小派出所.
		Airport	機場
		Large runway in the shadow of an impenetrable plateau.	Large runway in the shadow of an impenetrable plateau.
		Brinkfield	Brinkfield
		Nuclear power plant with dock, reactor rooms and underground disposal pool.	Nuclear power plant with dock, reactor rooms and underground disposal pool.
		Fishing Village	Fishing Village
		Small fishing village with mountain, multiple sea stacks and a rocky peninsula.	Small fishing village with mountain, multiple sea stacks and a rocky peninsula.
		Wind Turbine	Wind Turbine
		Large offshore wind turbine.	Large offshore wind turbine.
		Small Oil Rig	小型鑽油平台
		Medium Oil Rig	中型鑽油平台
		Wind Farm	風力發電廠
		Multiple wind turbines atop a gentle hillside.	Multiple wind turbines atop a gentle hillside.
		Oil Refinery	煉油廠
		An industrial oil refinery with boat access.	An industrial oil refinery with boat access.
		Lighthouse	燈塔
		An unmanned lighthouse surrounded by hazardous rock formations.	An unmanned lighthouse surrounded by hazardous rock formations.
		Observatory	天文台		
		An astronomical observatory research base.	An astronomical observatory research base.
		Sea Fort	沿海要塞
		An abandoned military sea fort that has been reopened as a tourist hotspot.	An abandoned military sea fort that has been reopened as a tourist hotspot.
		Mainland Cliff	大陸懸崖
		Small cliff at the corner of the mainland.	Small cliff at the corner of the mainland.
		Mainland Village	大陸村莊
		Small fishing village near a rocky bay.	Small fishing village near a rocky bay.
		Mainland Peninsula	大陸半島
		Wall of sharp rocks extending out into the ocean.	Wall of sharp rocks extending out into the ocean.
		Mainland Tunnel	大陸隧道
		A short continuing section of rail and road tunnels leading away from the mainland.	A short continuing section of rail and road tunnels leading away from the mainland.
		Mainland Junction	大陸交界處
		The junction point on the mainland where the trainline to the Arctic begins.	The junction point on the mainland where the trainline to the Arctic begins.
		Mainland Road	大陸道路
		Coastal road with a natural tunnel through a rock face.	Coastal road with a natural tunnel through a rock face.
		Mainland Quarry	大陸採石場
		Large quarry with mine, natural rock bridge and small castle ruin.	Large quarry with mine, natural rock bridge and small castle ruin.
		Mainland Beach	大陸海灘
		Small beach with several rock stacks.	Small beach with several rock stacks.
		Mainland Cliff 2	Mainland Cliff 2	
		Key Cottage	Key Cottage
		Small island with lone cottage on the key.	Small island with lone cottage on the key.
		Key Chemical Plant	Key Chemical Plant
		Small island with chemical plant on the key.	Small island with chemical plant on the key.
		Key Lighthouse OB	Key Lighthouse OB
		Small island with lighthouse on the key.	Small island with lighthouse on the key.
		Uninhabited 1	Uninhabited 1
		Small island with cliff edges.	Small island with cliff edges.
		Uninhabited 2	Uninhabited 2
		Smooth climb to a rocky cliffside.	Smooth climb to a rocky cliffside.
		Uninhabited 3	Uninhabited 3
		Two small islands surrounded by cliffs. Aerial access only.	Two small islands surrounded by cliffs. Aerial access only.
		Uninhabited 4	Uninhabited 4
		Multiple scattered sea stacks.	Multiple scattered sea stacks.
		Uninhabited 5	Uninhabited 5
		Relatively flat island with central rocky outcrop.	Relatively flat island with central rocky outcrop.
		Uninhabited 6	Uninhabited 6
		Rocky shoreline with a small bay.	Rocky shoreline with a small bay.
		Uninhabited 7	Uninhabited 7
		High cliffs and a bay with 2 narrow entrances.	High cliffs and a bay with 2 narrow entrances.
		Ruins 1	Ruins 1
		Rocky coastline with small cave, ancient ruin and sheltered beach.	Rocky coastline with small cave, ancient ruin and sheltered beach.
		Ruins 2	Ruins 2	
		Sheltered cove, ancient ruin, cliff face connected by natural arch.	Sheltered cove, ancient ruin, cliff face connected by natural arch.
		Seabed Rock Formation 1	Seabed Rock Formation 1
		A rocky formation with cave on the ocean bed.	A rocky formation with cave on the ocean bed.
		Seabed Rock Formation 2	Seabed Rock Formation 2
		Two small rock formations on the ocean bed.	Two small rock formations on the ocean bed.
		Seabed Rock Formation 3	Seabed Rock Formation 3
		Multiple scattered rock stacks on the ocean bed.	Multiple scattered rock stacks on the ocean bed.
		Seabed Rock Formation 4	Seabed Rock Formation 4
		A flat rocky formation with central mound on the ocean bed.	A flat rocky formation with central mound on the ocean bed.
		Seabed Rock Formation 5	Seabed Rock Formation 5
		Seabed Rock Formation 6	Seabed Rock Formation 6
		Small rocky formation on the ocean bed.	Small rocky formation on the ocean bed.
		Seabed Rock Formation 7	Seabed Rock Formation 7
		Several rocky stacks on the ocean bed.	Several rocky stacks on the ocean bed.
		Seabed Caves	Seabed Caves
		A system of underwater caves.	A system of underwater caves.
		Seabed Shipwreck	Seabed Shipwreck	
		A sunken iron-hulled merchant vessel.	A sunken iron-hulled merchant vessel.
		Seabed Shipwreck 2	Seabed Shipwreck 2
		A sunken historic timber caravel.	A sunken historic timber caravel.
		Ice	Ice
		Ice Variant	Ice Variant
		Ice Scale	Ice Scale
		Add Ice	Add Ice
		Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window.	Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window.
		Arctic Ocean	Arctic Ocean
		1km x 1km of empty Arctic ocean.	1km x 1km of empty Arctic ocean.		
		Arctic Oil Refinery	Arctic Oil Refinery
		An oil refinery with rail access.	An oil refinery with rail access.
		Arctic Ship Breaking Yard	Arctic Ship Breaking Yard
		A ship breaking yard with dry dock where boats are brought to be scrapped.	A ship breaking yard with dry dock where boats are brought to be scrapped.
		Arctic Research Facility	Arctic Research Facility
		An Arctic survey base situated on top of a large iceberg.	An Arctic survey base situated on top of a large iceberg.
		Arctic Mainland Rocks	Arctic Mainland Rocks
		A rocky coastal area surrounded by multiple small icebergs.	A rocky coastal area surrounded by multiple small icebergs.
		Arctic Oil Platform	Arctic Oil Platform
		An oil platform built on the edge of the Arctic mainland, with road access to a train terminal.	An oil platform built on the edge of the Arctic mainland, with road access to a train terminal.
		Arctic Mainland Hill	Arctic Mainland Hill
		A snow-covered rocky hill. Small section of train line with junction boxes.	A snow-covered rocky hill. Small section of train line with junction boxes.
		Arctic Mainland Outcrop	Arctic Mainland Outcrop
		Southern end of an outcrop off the coast of the Arctic mainland.	Southern end of an outcrop off the coast of the Arctic mainland.
		Arctic Mainland Outpost	Arctic Mainland Outpost
		An Arctic research outpost, large inland lake and train terminal with road access.	An Arctic research outpost, large inland lake and train terminal with road access.
		Arctic Fishing Village	Arctic Fishing Village
		A small fishing village with a dock and a un-manned lighthouse.	A small fishing village with a dock and a un-manned lighthouse.
		Arctic Mainland Arch	Arctic Mainland Arch
		Eroded rocks form a snow-covered natural arch.	Eroded rocks form a snow-covered natural arch.
		Arctic Mainland South	Arctic Mainland South
		Southern point of the Arctic mainland where the incoming trainline splits.	Southern point of the Arctic mainland where the incoming trainline splits.
		Arctic Mainland Coast	Arctic Mainland Coast
		A small section of coastline with multiple small icebergs offshore.	A small section of coastline with multiple small icebergs offshore.
		Arctic Container Depot	Arctic Container Depot
		A large shipping container depot with several docking areas and trainline access.	A large shipping container depot with several docking areas and trainline access.
		Arctic Underwater Mining	Arctic Underwater Mining
		An underwater drilling and mining facility with dock and trainline access.	An underwater drilling and mining facility with dock and trainline access.
		Multiplayer Island Base	Multiplayer Island Base
		A large island complete with dock and airstrip, both featuring with two workbenches.	A large island complete with dock and airstrip, both featuring with two workbenches.
		Ice Shelf 1	Ice Shelf 1
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 2	Ice Shelf 2
		An ice shelf with narrow passages between cliffs of ice.	An ice shelf with narrow passages between cliffs of ice.
		Ice Shelf 3	Ice Shelf 3
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 4	Ice Shelf 4
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 5	Ice Shelf 5
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 6	Ice Shelf 6
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 7	Ice Shelf 7
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 8	Ice Shelf 8
		An ice shelf with two very large icebergs.	An ice shelf with two very large icebergs.
		Ice Shelf 9	Ice Shelf 9
		A dense ice shelf with many large icebergs.	A dense ice shelf with many large icebergs.
		Ice Shelf 10	Ice Shelf 10
		Two small icebergs.	Two small icebergs.
		Ice Shelf 11	Ice Shelf 11
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Ice Shelf 12	Ice Shelf 12
		An ice shelf with multiple large icebergs.	An ice shelf with multiple large icebergs.
		Volcano Northwest	Volcano Northwest
		Northwest region of a dormant volcano.	Northwest region of a dormant volcano.
		Volcano North	Volcano North
		Northern region of a dormant volcano.	Northern region of a dormant volcano.
		Volcano Northeast	Volcano Northeast
		Northeast region of a dormant volcano.	Northeast region of a dormant volcano.		
		Volcano West	Volcano West
		Western region of a dormant volcano.	Western region of a dormant volcano.
		Volcano Center	Volcano Center
		Central region of a dormant volcano.	Central region of a dormant volcano.
		Volcano East	Volcano East
		Eastern region of a dormant volcano.	Eastern region of a dormant volcano.
		Volcano Southwest	Volcano Southwest
		Southwest region of a dormant volcano.	Southwest region of a dormant volcano.
		Volcano South	Volcano South
		Southern region of a dormant volcano.	Southern region of a dormant volcano.
		Volcano Southeast	Volcano Southeast
		Southeast region of a dormant volcano.	Southeast region of a dormant volcano.
		Special Outfit	Special Outfit
		None	None
		Diving	潛水
		Firefighter	消防
		Scuba	水肺
		Parachute	Parachute
		Arctic	極地
		SET OBJECTIVE	設置目標
		ADD COMPONENTS TO MISSION	衛任務增加組件
		IN MISSON	任務中
		SET TRIGGER	設置觸發器
		ZONES	地區
		ZONE	地區
		VEHICLE BUTTONS	VEHICLE BUTTONS
		VEHICLE BUTTON	VEHICLE BUTTON
		OBJECTIVES	目標		
		OBJECTIVE	目標
		SET ACTION COMPONENTS	SET ACTION COMPONENTS
		DEPENDENCIES	DEPENDENCIES
		SET ACTION OBJECTIVES	SET ACTION OBJECTIVES
		Uploading to workshop. Please wait...	上傳工作坊中. 請稍候...
		Loading. Please wait...	載入中. 請稍後...
		Your addon has errors that must be fixed in order to upload to the Steam workshop:\n\n	Your addon has errors that must be fixed in order to upload to the Steam workshop:\n\n
		CANNOT UPLOAD TO WORKSHOP	無法上傳至工作坊
		Your mission has errors that must be fixed before it can be tested:\n\n	Your mission has errors that must be fixed before it can be tested:\n\n
		CANNOT SPAWN MISSION	無法生成任務
		WORKSHOP UPLOAD FAILED	上傳工作坊失敗
		COMPONENTS OVERLAPPING	COMPONENTS OVERLAPPING
		Your addon has failed to upload to the Steam workshop.	Your addon has failed to upload to the Steam workshop.
		Your workshop addon has failed to update.	Your workshop addon has failed to update.
		ADDON UPLOAD COMPLETE	ADDON UPLOAD COMPLETE
		Your addon was successfully uploaded to the Steam workshop.\n\n We recommend heading to your addon's workshop page to add more information about the content you've included.\n\n Any vehicles used in your addon have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles.	Your addon was successfully uploaded to the Steam workshop.\n\n We recommend heading to your addon's workshop page to add more information about the content you've included.\n\n Any vehicles used in your addon have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles.
		ADDON UPDATE COMPLETE	ADDON UPDATE COMPLETE
		Your addon was updated successfully.\n\nYou can customise the changelog for this update by heading to your addon's workshop page to let your subscribers know what's new.	Your addon was updated successfully.\n\nYou can customise the changelog for this update by heading to your addon's workshop page to let your subscribers know what's new.
		missions	任務
		mission	任務
		objectives	目標
		objective	目標
		triggers	觸發器
		trigger	觸發器
		This component is currently required by	This component is currently required by
		Are you sure you want to delete it?	Are you sure you want to delete it?
		Workshop upload must have a name	Workshop upload must have a name
		Workshop upload must be renamed	Workshop upload must be renamed
		This addon includes the following	This addon includes the following
		mission(s)	mission(s)		
		Please note that some missions in this addon will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment).	Please note that some missions in this addon will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment).
		The author of this addon has tagged it as creative, so some or all included missions may be unsuitable for career mode.	The author of this addon has tagged it as creative, so some or all included missions may be unsuitable for career mode.
		(If you are the author of this addon, you can edit this description to add more details)	(If you are the author of this addon, you can edit this description to add more details)
		Uploaded	上傳
		to the Workshop.	到工作坊.
		Updated	更新
		Addon must have a name	Addon must have a name
		Addon must be renamed	Addon must be renamed
		MISSION OVERVIEW	任務概述
		No dependencies set.	未設置相關性.
		[no zone set]	[未設置區域]
		[no vehicle button set]	[未設置車輛按鈕]
		[no objective set]	[未設置目標]
		[no buttons set]	[未設置按鈕]
		[no flares set]	[no flares set]
		[no fires set]	[no fires set]
		[no message set]	[未設置訊息]
		[no objectives set]	[未設置目標]
		Loading vehicles...	載入載具...
		Saving game...	儲存遊戲...
		Occupied	已佔用
		Place Character In	放置
		Pick Up Character	扳起
		Store	商店
		Equip	Equip
		Restock	Restock
		Swap to	Swap to
		Release	發佈
		Tap	點擊
		Grab	抓住
		Hold	Hold住
		Tether	Tether
		Structure	建築
		Vehicle	載具
		Return To Workbench	返回工作台
		Deceased	死亡
		Stop Following	停止跟隨
		Follow	跟隨
		Purchase Island\n$	Purchase Island\n$
		Purchase Island to Use	購買島嶼使用
		Not Available	不可用
		Not Available When Carrying Someone	不可用時不能運送某人
		Spawning...	生成中...
		SAVE SELECTION	儲存選擇
		SAVE VEHICLE	儲存載具
		DISABLED	禁用
		X PLANE	X 平面
		Y PLANE	Y 平面
		Z PLANE	Z 平面
		none set	無設置
		Fast-travel Location	快速旅行點
		CLICK TO TRAVEL HERE	點擊快速旅行
		Island for sale	島嶼出售
		You are here	你在這裡
		CLICK TO TAKE TO WORKBENCH	點擊返回工作台
		Waypoint	導航點
		Fuel Location	燃油位置
		exit bed	離開床鋪
		change view	改變視角
		Infinite	無限
		Are you sure you want to purchase this property?	Are you sure you want to purchase this property?
		You cannot afford to purchase this property at the moment	您目前無法購買此房產
		FAST TRAVEL	FAST TRAVEL
		Are you sure you want to travel to this location?	Are you sure you want to travel to this location?
		Cancel	取消
		Confirm	繼續
		TAKE TO WORKBENCH	帶回工作台
		Are you sure you want to take this vehicle back to the workbench?	Are you sure you want to take this vehicle back to the workbench?
		Are you sure you want to spawn this mission?	Are you sure you want to spawn this mission?
		Only missions available on the server are possible to spawn.	只限可用的任務在伺服器上生成.
		SPAWN MISSION	生成任務
		REMOVE MISSION	刪除任物
		BEGIN RESEARCH	開始研究
		Are you sure you want to begin researching ###?\n\nThis will spend some of your Research Points and cannot be cancelled.	Are you sure you want to begin researching ###?\n\nThis will spend some of your Research Points and cannot be cancelled.
		Are you sure you want to remove this mission?\n\nThis will cause all spawned objects and vehicles created by this mission to be removed from the world.\n\n(You can respawn this mission from the mission selector)	Are you sure you want to remove this mission?\n\nThis will cause all spawned objects and vehicles created by this mission to be removed from the world.\n\n(You can respawn this mission from the mission selector)
		Map	地圖
		Missions	任務
		Research	研究		
		No missions available. Sleep in a bed to fast-forward, or click the (+) button to manually spawn a mission.	沒有可用的任務.您可以選擇睡覺,或按（+）按鈕手動生成任務.
		show controls	顯示控制
		hide controls	隱藏控制
		No Active Mission	無活動任務
		Recommended difficulty for new players. No vehicle or character damage. No advanced vehicle mechanics.	新玩家推薦難度,無載具損壞模式,無進階機械載具.
		Survival difficulty. Advanced vehicle mechanics. Transmission pipes. Injuries and death. No starting vehicles.	生存難度 進階載具機械,傳輸管道. 受傷和死亡. 無起始載具.
		Survival difficulty with reduced starting money, locked to first person view, no fast travel or vehicle teleporting, limited fuel.	生存難度 減少起始資金,鎖定第一人稱,無快速旅行和載具傳送,有限的燃料.
		Hardcore mode with permadeath (save file will be deleted upon death).	極限模式永久死亡(儲存文件將在死亡時刪除).
		Custom difficulty settings.	設定自定義難度.
		Custom mode. A sandbox environment with an array of settings to customise your session. Career or Creative.	Custom mode. A sandbox environment with an array of settings to customise your session. Career or Creative.
		Classic career mode. Expand your coastguard empire. Complete missions to earn money and unlock components.	Classic career mode. Expand your coastguard empire. Complete missions to earn money and unlock components.
		Career mode. Expand your coastguard empire. Complete missions with survival style settings.	Career mode. Expand your coastguard empire. Complete missions with survival style settings.
		Custom game mode settings.	設定自定義遊戲模式.
		PLEASE CHOOSE ANOTHER KEY	請選擇另一個鍵
		PRESS CONTROLLER BUTTON TO REBIND TO	請按一個鍵
		PRESS KEY/MOUSE TO REBIND TO	PRESS KEY/MOUSE TO REBIND TO
		GRAPHICS	圖像
		QUALITY	品質
		Window Mode	視窗模式
		Resolution	解析度	
		Antialiasing Mode	抗拒齒模式
		VSync	垂直同步
		View Distance	View Distance
		Meters	Meters
		Motion Blur	動態模糊
		Ocean Reflections	海洋反射
		Bloom	光暈
